gbifID,scientificName,family,order,eventDate,basisOfRecord,decimalLatitude,decimalLongitude,stateProvince,datasetName,recordedBy,n_individuals,X,Y
3284215343,"Syrigma sibilatrix (Temminck, 1824)",Ardeidae,Pelecaniformes,2020-12-20,HUMAN_OBSERVATION,-20.315615,-46.833275,Minas Gerais,,obsr1115302,7,308590.0044995516,7752528.672881655
3350559687,"Lepidocolaptes angustirostris (Vieillot, 1818)",Furnariidae,Passeriformes,2001-12-28,PRESERVED_SPECIMEN,-19.5,-43.73,,,Beatriz Aquino Ribeiro,7,633271.5954861671,7843354.048126891
4619842217,"Columbina squammata (R.Lesson, 1831)",Columbidae,Columbiformes,2023-11-04,HUMAN_OBSERVATION,-20.34504,-46.86136,Minas Gerais,,obsr1149399,10,305693.68330693664,7749238.22244161
5675884291,"Geothlypis velata (Vieillot, 1809)",Parulidae,Passeriformes,2024-02-04,HUMAN_OBSERVATION,-19.606527,-43.495632,Minas Gerais,,obsr1359206,3,657766.2083815779,7831364.345306104
5231246209,"Serpophaga nigricans (Vieillot, 1817)",Tyrannidae,Passeriformes,2025-07-09T23:53:48,HUMAN_OBSERVATION,-20.096816,-43.488203,Minas Gerais,iNaturalist research-grade observations,bzyborski,3,658059.0647539607,7777088.3471527565
5608777379,"Pitangus sulphuratus (Linnaeus, 1766)",Tyrannidae,Passeriformes,2024-12-07,HUMAN_OBSERVATION,-20.342236,-46.857098,Minas Gerais,,obsr2661064,8,306135.2109768133,7749553.67220656
2171286504,"Thamnophilus caerulescens Vieillot, 1816",Thamnophilidae,Passeriformes,2016-10-16,HUMAN_OBSERVATION,-19.52946,-43.73666,Minas Gerais,,obsr3541,5,632548.598389779,7840098.72007939
3745700114,"Turdus rufiventris Vieillot, 1818",Turdidae,Passeriformes,1974-02-10,PRESERVED_SPECIMEN,-19.513611,-43.744722,Minas Gerais,,Antônio Corrêa Filho,4,631715.4776308604,7841859.0227122335
5070139555,"Stilpnia cayana (Linnaeus, 1766)",Thraupidae,Passeriformes,2025-02-15T09:41,HUMAN_OBSERVATION,-20.098145,-43.489145,Minas Gerais,iNaturalist research-grade observations,filipeprates,4,657959.2273993499,7776942.1320602335
5684823946,"Fluvicola nengeta (Linnaeus, 1766)",Tyrannidae,Passeriformes,2024-07-16,HUMAN_OBSERVATION,-20.325893,-46.83702,Minas Gerais,,obsr2661064,10,308211.5650104912,7751386.47036794
2171286553,"Saltatricula atricollis (Vieillot, 1817)",Thraupidae,Passeriformes,2016-10-14,HUMAN_OBSERVATION,-19.52946,-43.73666,Minas Gerais,,obsr3541,8,632548.598389779,7840098.72007939
4786873731,"Athene cunicularia (Molina, 1782)",Strigidae,Strigiformes,2023-08-23,HUMAN_OBSERVATION,-14.96894,-44.047916,Minas Gerais,,obsr1089201,1,602375.010966715,8344889.659306865
5063305903,"Sicalis flaveola (Linnaeus, 1766)",Thraupidae,Passeriformes,2025-01-13T14:18,HUMAN_OBSERVATION,-20.09887,-43.487408,Minas Gerais,iNaturalist research-grade observations,Diego Rolim,1,658140.1342208359,7776860.233974829
5512918237,"Patagioenas picazuro (Temminck, 1813)",Columbidae,Columbiformes,2024-02-03,HUMAN_OBSERVATION,-19.606527,-43.495632,Minas Gerais,,obsr1359206,8,657766.2083815779,7831364.345306104
5070102512,"Zonotrichia capensis (P.L.S.Müller, 1776)",Passerellidae,Passeriformes,2025-02-16T07:33,HUMAN_OBSERVATION,-20.09832,-43.499695,Minas Gerais,iNaturalist research-grade observations,filipeprates,7,656855.8606048183,7776932.725019399
5164060365,"Colaptes melanochloros (J.F.Gmelin, 1788)",Picidae,Piciformes,2025-05-07T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,8,658080.9597998535,7777023.389103258
4731019824,"Sicalis citrina Pelzeln, 1870",Thraupidae,Passeriformes,2023-11-04,HUMAN_OBSERVATION,-20.34504,-46.86136,Minas Gerais,,obsr1149399,10,305693.68330693664,7749238.22244161
5652165791,"Machetornis rixosa (Vieillot, 1819)",Tyrannidae,Passeriformes,2024-02-04,HUMAN_OBSERVATION,-19.606527,-43.495632,Minas Gerais,,obsr1359206,4,657766.2083815779,7831364.345306104
2714631959,"Phacellodomus rufifrons (Wied-Neuwied, 1821)",Furnariidae,Passeriformes,2016-10-15,HUMAN_OBSERVATION,-19.52946,-43.73666,Minas Gerais,,obsr3541,7,632548.598389779,7840098.72007939
5304755646,"Myiozetetes cayanensis (Linnaeus, 1766)",Tyrannidae,Passeriformes,2024-01-29,HUMAN_OBSERVATION,-20.097414,-43.485508,Minas Gerais,,obsr306297,8,658340.2773092568,7777019.596048903
