gbifID,scientificName,family,order,eventDate,basisOfRecord,decimalLatitude,decimalLongitude,stateProvince,datasetName,recordedBy,n_individuals
4729583791,"Icterus pyrrhopterus (Vieillot, 1819)",Icteridae,Passeriformes,2023-11-03,HUMAN_OBSERVATION,-20.34504,-46.86136,Minas Gerais,,obsr1149399,5
5331011797,"Zonotrichia capensis (P.L.S.Müller, 1776)",Passerellidae,Passeriformes,2024-01-29,HUMAN_OBSERVATION,-20.097754,-43.48859,Minas Gerais,,obsr3066956,2
5361074525,"Xenops rutilans Temminck, 1821",Furnariidae,Passeriformes,2024-01-29,HUMAN_OBSERVATION,-20.097414,-43.485508,Minas Gerais,,obsr553166,2
2723155544,"Eupsittula aurea (J.F.Gmelin, 1788)",Psittacidae,Psittaciformes,2016-10-15,HUMAN_OBSERVATION,-19.52946,-43.73666,Minas Gerais,,obsr3541,3
4630918344,"Molothrus bonariensis (Gmelin, 1789)",Icteridae,Passeriformes,2023-11-03,HUMAN_OBSERVATION,-20.34504,-46.86136,Minas Gerais,,obsr1149399,1
5164099417,"Myiothlypis flaveola S.F.Baird, 1865",Parulidae,Passeriformes,2025-05-08T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,4
2789198704,"Thraupis sayaca (Linnaeus, 1766)",Thraupidae,Passeriformes,2016-10-16,HUMAN_OBSERVATION,-19.52946,-43.73666,Minas Gerais,,obsr3541,8
3745700127,"Myiophobus fasciatus flammiceps (Temminck, 1822)",Tyrannidae,Passeriformes,1973-09-05,PRESERVED_SPECIMEN,-19.513611,-43.744722,Minas Gerais,,Ivan Sazima,6
5588882629,"Myiothlypis flaveola S.F.Baird, 1865",Parulidae,Passeriformes,2024-02-04,HUMAN_OBSERVATION,-19.643545,-43.52514,Minas Gerais,,obsr1359206,3
5163998394,"Ardea alba Linnaeus, 1758",Ardeidae,Pelecaniformes,2025-05-08T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,6
5301890022,"Augastes scutatus (Temminck, 1824)",Trochilidae,Apodiformes,2024-01-29,HUMAN_OBSERVATION,-20.098928,-43.49928,Minas Gerais,,obsr3066956,6
4631231363,"Crotophaga ani Linnaeus, 1758",Cuculidae,Cuculiformes,2023-11-04,HUMAN_OBSERVATION,-20.34504,-46.86136,Minas Gerais,,obsr1149399,7
3745700171,"Elaenia obscura sordida Zimmer, 1941",Tyrannidae,Passeriformes,1973-07-20,PRESERVED_SPECIMEN,-19.513611,-43.744722,Minas Gerais,,Antônio Corrêa Filho,3
5640631132,"Gnorimopsar chopi (Vieillot, 1819)",Icteridae,Passeriformes,2024-02-04,HUMAN_OBSERVATION,-19.606527,-43.495632,Minas Gerais,,obsr1359206,6
5362043018,"Sittasomus griseicapillus (Vieillot, 1818)",Furnariidae,Passeriformes,2024-01-05,HUMAN_OBSERVATION,-20.1026,-43.494,Minas Gerais,,obsr398519,10
5164132415,"Colonia colonus (Vieillot, 1818)",Tyrannidae,Passeriformes,2025-05-07T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,2
5549684421,"Contopus cinereus (Spix, 1825)",Tyrannidae,Passeriformes,2024-02-04,HUMAN_OBSERVATION,-19.635796,-43.524536,Minas Gerais,,obsr1359206,10
5164031365,"Tachyphonus coronatus (Vieillot, 1822)",Thraupidae,Passeriformes,2025-05-08T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,1
5339906159,"Sicalis flaveola (Linnaeus, 1766)",Thraupidae,Passeriformes,2024-07-18,HUMAN_OBSERVATION,-20.332607,-46.83823,Minas Gerais,,obsr2661064,3
